event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
IND74037,2020-04-27,2020,1,Political violence,Riots,Mob violence,Rioters (India),,Rioters,Police Forces of India (2014-),Civilians (India); Health Workers (India),State forces,State forces-Rioters,,356,South Asia,India,Haryana,Ambala,Ambala,Chand Pura,30.3498,76.895,1,Hindustan Times; Indo-Asian News Service; Pioneer (India),National-International,"On 27 April 2020, a mob of at least 30 people attacked health workers and the police in Chandpura village near Ambala (Haryana), against the cremation of a coronavirus casualty, fearing the spread of the virus in their village.",0,crowd size=at least 30,1719352796
IND74036,2020-04-27,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Health Workers (India); Women (India),Protesters,,,,Protesters only,,356,South Asia,India,Punjab,Bathinda,Bathinda,Bathinda,30.2108,74.9452,1,Chandigarh Tribune,Subnational,"On 27 April 2020, Accredited social health activists (ASHA) workers staged a protest at the Civil Hospital, Bathinda (Punjab) demanding proper PPE kits and safety equipment to deal with coronavirus.",0,crowd size=no report,1730913913
IND73862,2020-04-25,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Health Workers (India); Labor Group (India),Protesters,,,,Protesters only,,356,South Asia,India,Uttar Pradesh,Firozabad,Firozabad,Firozabad,27.1509,78.3978,1,Times of India,National,"On 25 April 2020, medical and sanitation staff staged a protest in Firozabad (UP) demanding better safety and protection gear for health workers during coronavirus.",0,crowd size=no report,1588090718
IND73955,2020-04-23,2020,1,Political violence,Riots,Mob violence,Rioters (India),,Rioters,Civilians (India),Health Workers (India); Women (India),Civilians,Rioters-Civilians,Civilian targeting,356,South Asia,India,Odisha,Baleshwar,Baleshwar,Balasore,21.4871,86.9246,1,Hindustan Times,National,"On 23 April 2020, a family assaulted an ASHA health worker and his family at their home in Balasore town (Balasore, Odisha) in disagreement over collecting details on coronavirus cases in the Niliabag containment zone.",0,crowd size=no report,1713900249
IND73860,2020-04-22,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Health Workers (India),Protesters,,,,Protesters only,,356,South Asia,India,Uttar Pradesh,Agra,Agra,Agra,27.1833,78.0166,1,Times of India,National,"On 22 April 2020, health workers, paramedics, under the banner of UP Lab Technician's Association (UPLTA) of Lady Lyall Hospital and SN Medical College (SNMC) staged a protest in Agra (UP) demanding better safety and protection gear for health workers during coronavirus.",0,crowd size=no report,1588090718
IND73953,2020-04-22,2020,1,Political violence,Riots,Mob violence,Rioters (India),,Rioters,Police Forces of India (2014-),Civilians (India); Health Workers (India),State forces,State forces-Rioters,,356,South Asia,India,Madhya Pradesh,Sheopur,Sheopur,Sheopur,25.6729,76.696,1,Asian News International; Pioneer (India),National,"On 22 April 2020, members of a family attacked a team of police and physicians in Sheopur town (Sheopur, Madhya Pradesh), as they requested to test for coronavirus a member of their family, who had returned from Guna. One officer sustained a head injury.",0,crowd size=no report,1649278360
IND73948,2020-04-22,2020,1,Political violence,Violence against civilians,Attack,Police Forces of India (2014-),,State forces,Civilians (India),Health Workers (India),Civilians,State forces-Civilians,Civilian targeting,356,South Asia,India,Maharashtra,Aurangabad,Aurangabad,Aurangabad,19.8775,75.3422,1,Times of India,National,"On 22 April 2020, police assaulted private ambulance drivers and deflated their vehicle tires in Begumpura area of Aurangabad city (Aurangabad, Maharashtra) over an unknown reason during the coronavirus lockdown.",0,,1649278360
IND73949,2020-04-22,2020,1,Political violence,Riots,Mob violence,Rioters (India),,Rioters,Civilians (India),Health Workers (India); Government of India (2014-); Women (India),Civilians,Rioters-Civilians,Civilian targeting,356,South Asia,India,Odisha,Jajapur,Jajapur,Jajpur,20.8485,86.3372,2,Hindustan Times,National,"On 22 April 2020, few people who had returned from Bengal attacked an ASHA health worker, a government worker, and a local sarpanch in Jajpur district (Odisha), as they advised them to stay in a coronavirus quarantine facility.",0,crowd size=few; local administrators,1687837290
IND73872,2020-04-22,2020,1,Political violence,Riots,Mob violence,Rioters (India),,Rioters,Civilians (India),Health Workers (India),Civilians,Rioters-Civilians,Civilian targeting,356,South Asia,India,Haryana,Panchkula,Kalka,Pinjore,30.7987,76.9182,1,Chandigarh Tribune,Subnational,"On 22 April 2020, a mob of 15 people attacked a doctor working in the coronavirus ward of a local hospital in Pinjore town, Panchkula (Haryana). Reason for the attack not reported, but assumed to be due to the fear of the doctor spreading coronavirus in the area.",0,crowd size=15,1713291463
IND73986,2020-04-22,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Health Workers (India),Protesters,,,,Protesters only,,356,South Asia,India,Jammu and Kashmir,Srinagar,Srinagar South,Srinagar,34.0857,74.8056,1,Kashmir Monitor,Subnational,"On 22 April 2020, doctors silently staged a protest at Srinagar city (J&K) against the administration for sacking a doctor who asked standard accredited gear for combating the outbreak of coronavirus.",0,crowd size=no report,1713291463
